,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
270,Petrol,"26,264 km",,MANUAL,DL-8C,Hyundai Verna FLUIDIC,2016,Hyundai,"6,83,399"
271,Diesel,"65,946 km",,MANUAL,DL-2C,Maruti Swift Dzire,2012,Maruti,"3,52,999"
272,Petrol,"9,483 km",,MANUAL,HR-26,Maruti Baleno ZETA,2018,Maruti,"6,47,899"
273,Petrol,"41,508 km",,MANUAL,DL-9C,Maruti Alto LXI,2010,Maruti,"2,09,599"
274,Petrol,"35,812 km",,AUTOMATIC,HR-26,Hyundai Elite i20,2016,Hyundai,"5,75,499"
275,Petrol,"67,529 km",,MANUAL,DL-3C,Hyundai i10 MAGNA,2010,Hyundai,"1,70,000"
276,Petrol,"20,380 km",,MANUAL,HR-10,Maruti Swift LXI,2018,Maruti,"5,11,199"
277,Petrol,"59,370 km",,MANUAL,DL-3C,Maruti Ritz LXI,2010,Maruti,"1,92,299"
278,Petrol,"80,346 km",,AUTOMATIC,DL-2C,Maruti Alto K10,2011,Maruti,"1,82,299"
279,Petrol,"2,206 km",,MANUAL,HR-51,Maruti IGNIS SIGMA,2020,Maruti,"5,11,599"
280,Petrol,"9,366 km",,MANUAL,DL-3C,Honda City ZX,2020,Honda,"13,47,799"
281,Petrol,"51,228 km",,,DL-2C,Maruti Alto K10,2014,Maruti,"2,62,299"
282,Diesel,"37,640 km",1st Owner,MANUAL,DL-8C,Maruti S Cross,2015,Maruti,"5,17,499"
283,Petrol,"45,715 km",1st Owner,MANUAL,DL-7C,Hyundai Eon ERA,2015,Hyundai,"2,28,399"
284,Petrol,"27,915 km",1st Owner,MANUAL,DL-1C,Honda Brio 1.2,2013,Honda,"4,33,299"
285,Diesel,"54,316 km",1st Owner,MANUAL,DL-8C,Maruti Ritz VDI,2013,Maruti,"2,64,299"
286,Petrol,"9,253 km",2nd Owner,AUTOMATIC,DL-3C,Maruti Alto K10,2018,Maruti,"3,47,199"
287,Petrol,"26,887 km",2nd Owner,MANUAL,DL-3C,Hyundai i10 MAGNA,2011,Hyundai,"2,29,000"
288,Petrol,"31,579 km",1st Owner,MANUAL,DL-9C,Maruti Alto LXI,2009,Maruti,"1,56,799"
289,Petrol,"31,679 km",1st Owner,MANUAL,HR-26,Maruti Alto K10,2017,Maruti,"4,08,899"
290,Petrol,"54,148 km",1st Owner,MANUAL,DL-13,Honda Brio 1.2,2013,Honda,"2,90,000"
291,Petrol,"64,620 km",1st Owner,MANUAL,DL-4C,Toyota Etios VX,2011,Toyota,"3,80,699"
292,Petrol,"33,958 km",2nd Owner,AUTOMATIC,DL-12,Hyundai i10 SPORTZ,2013,Hyundai,"3,26,599"
293,Petrol,"39,695 km",1st Owner,MANUAL,PB-10,Maruti Eeco 5,2016,Maruti,"3,30,299"
294,Petrol,"9,870 km",1st Owner,MANUAL,DL-12,Maruti Baleno DELTA,2019,Maruti,"6,42,299"
295,Petrol,"34,273 km",1st Owner,MANUAL,DL-5C,Maruti Alto K10,2017,Maruti,"3,21,299"
296,Petrol,"11,873 km",2nd Owner,MANUAL,UP-14,Maruti Celerio VXI,2019,Maruti,"4,00,499"
297,Petrol,"66,492 km",1st Owner,MANUAL,DL-8C,Hyundai i10 MAGNA,2011,Hyundai,"2,19,699"
298,Petrol,"37,315 km",1st Owner,MANUAL,UP-16,Tata Nano TWIST,2015,Tata,"1,25,000"
299,Diesel,"46,856 km",1st Owner,MANUAL,DL-2C,Maruti Swift VDI,2015,Maruti,"4,17,299"
300,Petrol,"58,659 km",1st Owner,MANUAL,DL-3C,Honda City V,2012,Honda,"4,10,000"
301,Diesel,"60,133 km",2nd Owner,AUTOMATIC,DL-3C,Maruti Swift VDI,2013,Maruti,"3,64,799"
302,Petrol,"35,013 km",,,DL-7C,Hyundai Grand i10,2017,Hyundai,"4,78,199"
303,Petrol,"44,435 km",1st Owner,MANUAL,DL-9C,Maruti Baleno SIGMA,2016,Maruti,"4,50,999"
304,Petrol,"42,899 km",2nd Owner,MANUAL,HR-87,Honda Amaze 1.2,2017,Honda,"5,12,699"
305,Petrol,"7,177 km",1st Owner,MANUAL,UP-16,Hyundai VENUE E,2020,Hyundai,"7,57,199"
306,Petrol,"41,048 km",2nd Owner,MANUAL,HR-51,Hyundai Grand i10,2016,Hyundai,"4,14,899"
307,Petrol,"36,229 km",2nd Owner,MANUAL,HR-26,Hyundai i10 SPORTZ,2009,Hyundai,"2,34,899"
308,Diesel,"49,118 km",1st Owner,MANUAL,DL-9C,Maruti Swift Dzire,2014,Maruti,"3,96,399"
309,Petrol,"32,744 km",1st Owner,MANUAL,DL-8C,Hyundai Grand i10,2015,Hyundai,"3,71,799"
310,Petrol,"31,907 km",1st Owner,MANUAL,DL-8C,Hyundai Elite i20,2017,Hyundai,"5,77,299"
311,Petrol,"66,838 km",1st Owner,MANUAL,DL-8C,Hyundai i10 MAGNA,2011,Hyundai,"2,38,599"
312,Petrol,"20,439 km",1st Owner,MANUAL,DL-10,Hyundai Eon ERA,2013,Hyundai,"2,45,000"
